Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2026-09-21,EDGX Equities (K),138053705.000000,163587247.000000,385211940.000000,686852892.000000,7215842000.281302,7615721180.955696,23700234355.592396,38531797536.829394,1440846,1029389,3161700,5631935
2026-09-21,LTSE (L),471941.000000,696043.000000,625040.000000,1793024.000000,22654328.670000,35764034.905800,25892815.437800,84311179.013600,5941,3023,30355,39319
2026-09-21,NYSE Texas (M),18900167.000000,16815537.000000,38885965.000000,74601669.000000,1715638632.050700,3765211653.165001,9795682473.228400,15276532758.444101,58909,15924,68247,143080
2026-09-21,NYSE (N),1246043611.000000,55527777.000000,126839018.000000,1428410406.000000,79149825664.011395,3647204626.265600,6555857637.538901,89352887927.815896,5639871,359936,1135337,7135144
2026-09-21,NYSE Arca (P),238081865.000000,487378416.000000,1005832900.000000,1731293181.000000,12520797429.923201,30272531510.361608,42489492237.010118,85282821177.294927,2957156,2532931,7889682,13379769
2026-09-21,NASDAQ (Q),402595549.000000,230673091.000000,1757732828.000000,2391001468.000000,22182249005.324207,17560968949.632405,154574913189.394764,194318131144.351376,5608164,1638408,11975211,19221783
2026-09-21,Members Exchange (U),46602265.000000,54674198.000000,179381444.000000,280657907.000000,2471044220.030299,2928118681.942299,8021494886.157799,13420657788.130397,527589,324173,1199214,2050976
2026-09-21,Investors Exchange (V),269037626.000000,130622706.000000,321133098.000000,720793430.000000,14153850055.829605,7111086144.875401,20071956015.655401,41336892216.360407,3128298,613551,3138647,6880496
2026-09-21,NASDAQ PSX (X),7421327.000000,3788727.000000,11111582.000000,22321636.000000,416793151.643500,338434893.656500,783462300.462500,1538690345.762500,79823,25326,120896,226045
2026-09-21,BYX Equities (Y),35943731.000000,26618492.000000,56617767.000000,119179990.000000,1669297409.450500,1319425372.239600,2729187655.877698,5717910437.567798,488311,193737,618897,1300945
2026-09-21,BZX Equities (Z),180068838.000000,145953609.000000,267238027.000000,593260474.000000,10633908504.054200,9688706480.584097,22512442070.084807,42835057054.723104,2602866,983544,3096992,6683402
2026-09-18,NYSE American (A),6466085.000000,129639768.000000,7213504.000000,143319357.000000,357124946.317500,943306366.019200,503153944.812800,1803585257.149500,69148,86678,76462,232288
2026-09-18,NASDAQ Texas (B),11824343.000000,11939922.000000,21905031.000000,45669296.000000,869453205.504700,523568272.304500,1281729174.367700,2674750652.176900,144667,68564,200995,414226
2026-09-18,NYSE National (C),20588569.000000,9684476.000000,22288039.000000,52561084.000000,870864234.383300,400545884.395500,841681170.253100,2113091289.031900,245758,65102,220188,531048
2026-09-18,FINRA / Nasdaq TRF Chicago (DB),12883742.686348,10613700.880717,37352637.045232,60850080.612297,736258594.725100,457698699.400919,3276700011.449963,4470657305.575982,119702,50098,289964,459764
2026-09-18,FINRA / NYSE TRF (DN),104315815.252127,80996701.801746,382077722.663114,567390239.716987,5955167186.589217,7096821473.788507,14665993252.909437,27717981913.287161,860120,318960,1529223,2708303
